JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
141670394,1,20403,0.010856,0.011064,55178.721064,CERN-PROD,MCSimulation
141725729,1,78749,0.012915,0.012925,55173.962925,INFN-T1,MCSimulation
141710194,1,60972,0.011713,0.011821,55179.861821,DE-DESY-RWTH-CMS-T2,MCSimulation
141648509,1,1836,0.010108,0.010216,55179.040216,PL-TIER2-WLCG,MCSimulation
141719030,1,72037,0.012915,0.012925,55170.212925,RU-RDIG,MCReconstruction
141693640,1,44234,0.011118,0.011128,55199.351128,RAL-LCG2,MCSimulation
141709903,1,60792,0.011713,0.011821,55199.991821,IN2P3-CC,MCSimulation
141700513,1,51002,0.011139,0.011150,55200.021150,IN2P3-CC,MCSimulation
141698593,1,48760,0.011118,0.011128,55204.591128,FZK-LCG2,MCSimulation
141707557,1,58212,0.011280,0.011388,55213.061388,RAL-LCG2,MCSimulation
141724021,1,77518,0.012915,0.012925,55214.142925,UK-NorthGrid,MCSimulation
141730758,1,83599,0.012915,0.012925,55214.672925,CERN-PROD,MCSimulation
141705480,1,56027,0.011280,0.011388,55223.021388,RAL-LCG2,MCSimulation
141718671,1,71212,0.012915,0.012925,55224.592925,FZK-LCG2,MCSimulation
141718253,1,71059,0.012795,0.012904,55229.872904,FR-GRIF,MCSimulation
141705487,1,56030,0.011280,0.011388,55232.581388,FZK-LCG2,MCSimulation
141732449,1,85478,0.012915,0.012925,55241.802925,T2-LATINAMERICA,MCSimulation
141648707,1,1853,0.010108,0.010216,55241.000216,IN2P3-CC,MCSimulation
141720946,1,73607,0.012915,0.012925,55240.722925,UK-NorthGrid,MCSimulation
141683664,1,34453,0.011074,0.011085,55245.231085,RAL-LCG2,MCSimulation
141664518,1,15436,0.010856,0.011064,55246.361064,RAL-LCG2,MCSimulation
141648443,1,1831,0.010108,0.010216,55251.680216,PL-TIER2-WLCG,MCSimulation
141702903,1,53344,0.011161,0.011172,55252.401172,CH-CHIPP-CSCS,MCSimulation
